"* Required Fields","* Champs requis"
"-- No Status Change --","-- Pas de changement de statut --"
"3D Secure","3D Secure"
"3D Secure Authentication","Authentification 3D Secure"
"3D Secure failed","3D Secure a échoué."
"3D Secure sucess","3D Secure avec succès"
"3DSecure Setting","Paramètres 3D Secure"
"A authorized transaction cannot be authorized again.","Une transaction autorisée ne peut pas être autorisée à nouveau."
"A authorized transaction cannot be marked as failed.","Une transaction autorisée ne peut pas être marquée comme échouée"
"A cancelled transaction cannot be authorized.","Une transaction annulée ne peut pas être autorisée."
"A cancelled transaction cannot be cancelled again.","Une transaction annulée ne peut pas être annulée à nouveau."
"A cancelled transaction cannot be captured.","Une transaction annulée ne peut pas être comptabilisée"
"A cancelled transaction cannot be marked as failed.","Une transaction annulée ne peut pas être marquée comme échouée."
"A cancelled transaction cannot be refunded.","Une autorisation annulée ne peut pas être remboursée."
"A captured transaction cannot be authorized.","Une transaction comptabilisée ne peut pas être autorisée."
"A captured transaction cannot be cancelled.","Une transaction comptabilisée ne peut pas être annulée."
"A captured transaction cannot be marked as failed.","Une transaction comptabilisée ne peut pas être marquée comme échouée"
"A failed authorization cannot be authorized.","Une transaction échouée ne peut pas être autorisée."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Certains modes de paiement ne sont pas disponible pour des pays spécifiques. Définissez l'instant dans lequel vous voulez que le contrôle de disponibilité soit fait. Nous recommendons séléctionner 'Pendant l'autorisation'."
"A refund was added over !amount.","Un remboursement de !amount a été ajouté."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Une transaction peut être incertaine si le paiement n'est pas garanti. Par example, si la carte de crédit ne fait pas partie du processus 3D secure."
"AVS Address Check","AVS Vérification de l'adresse"
"AVS Post Code Check","AVS Vérification  du code postale"
"AVSManager Address Settings","Paramètres d'adresse du AVS Manager"
"AVSManager Post Code Settings","AVS code postal"
"About","À propos de nous"
"Account Holder","Nom du titulaire du compte"
"Account Holder Name","Nom du titulaire du compte"
"Account owner name.","Nom du titulaire du compte"
"Action","Action"
"Actions","Actions"
"Activate","Activé"
"Activate AVS-Manager","Activer le manager AVS"
"Activate RealVault","Activer RealVault"
"Activate the payment method and test.","Activez le mode de paiement et testez le."
"Active","Activé"
"Additional Information","Informations complémentaires"
"Address Verification Result. <br>(M (Matched) <br>N (Not Matched) <br>I (Problem with check) <br>U (Unable to check (not certified etc)) <br>P (Partial Match))","Résultat de vérification d'adresse. <br>(M (Matched) <br>N (Not Matched) <br>I (Problem with check) <br>U (Unable to check (not certified etc)) <br>P (Partial Match))"
"Adjust Qty","Ajuster la quantité"
"Adjustment Discount","Ajustement des rabais"
"Adjustment Fee","Frais d'ajustement"
"After payment selection","Après la sélection du mode de paiement"
"Ajax authorization not supported.","Autorisation Ajax pas possible."
"Alias","Alias"
"Alias For Display","Alias pour l'affichage"
"Alias Id","ID de l'Alias"
"Alias Token","Alias Token"
"All Customers","Tous les clients"
"Allow only 3DSecure transactions (Very strict)","Autoriser uniquement les transactions 3D Secure (très strict)"
"Allowed Currencies","Devises autorisés"
"Allowed currencies for this payment method","Devises autorisées pour cette méthode de paiement"
"Already registered?","Déjà inscrit?"
"Always Checkout as Guest","Toujours commander en tant qu'invité"
"American Express","American Express"
"Amount","Montant"
"Amount Incl. Tax","Montant Incl. Impôt"
"An unkown error occurs. Details: '!details'.","Il semble y avoir une erreur avec le module de paiement. Détails: '!details'."
"Are you sure you want to cancel this order?","Êtes-vous sûr d'annuler cette commande?"
"Ask for the CVC","Demandez le CVC"
"At this point the PaRes-URL parameter must be given.","À ce stade, le paramètre PaRes-URL doit être donné."
"Author","Auteur"
"Authorization Amount","Montant de l'autorisation"
"Authorization Failed","Autorisation a échouée"
"Authorization Method","Mode d'autorisation"
"Authorization is uncertain.","Autorisation est incertaine"
"Authorized Status","Statut autorisé"
"Await Notification","Attendre la notification"
"Awaiting confirmation","En attente de confirmation"
"BIC","BIC"
"Bad signature format.","Format de signature incorrect"
"Bank Location","Lieu de la banque"
"Bank Name","Nom de la banque"
"Bank account number","Número du compte bancaire"
"Bank code number","Numéro de code banquaire"
"Before payment selection","Avant la sélection du mode de paiement"
"Billing Address","Adresse de facturation"
"Billing Information","Information de facturation"
"Billing address","Billing address"
