"* Required Fields","* campo obbligatorio"
"-- No Status Change --","-- Nessun cambiamento di stato --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure fallito"
"3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"3DSecure Setting","Impostazione di 3D Secure"
"A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
"A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"AVS Address Check","AVS Verifica del indirizzo"
"AVS Post Code Check","AVS Verifica del codice postale"
"AVSManager Address Settings","AVS Manager Impostazioni per l'indirizzo"
"AVSManager Post Code Settings","AVS Impostazioni per il codice postale"
"About","A proposito di"
"Account Holder","Intestatario del conto"
"Account Holder Name","Intestatario del conto"
"Account owner name.","Intestatario del conto"
"Action","Azione"
"Actions","Azioni"
"Activate","Activate"
"Activate AVS-Manager","Attivare AVS Manager"
"Activate RealVault","Attivare RealVault"
"Activate the payment method and test.","Attiva il metodo di pagamento e provalo."
"Active","Attivo"
"Additional Information","Ulteriori informazioni"
"Address Verification Result. <br>(M (Matched) <br>N (Not Matched) <br>I (Problem with check) <br>U (Unable to check (not certified etc)) <br>P (Partial Match))","Risultato della verifica degli indirizzi <br>(M (Matched) <br>N (Not Matched) <br>I (Problem with check) <br>U (Unable to check (not certified etc)) <br>P (Partial Match))"
"Adjust Qty","Regolare la quantità"
"Adjustment Discount","Regolazione del discount"
"Adjustment Fee","Costi di adeguamento"
"After payment selection","Dopo la scelta del pagamento"
"Ajax authorization not supported.","Autorizzazione Ajax non supportata."
"Alias","Alias"
"Alias For Display","Alias da visualizzare"
"Alias Id","Alias ID"
"Alias Token","Alias Token"
"All Customers","Tutti i clienti"
"Allow only 3DSecure transactions (Very strict)","Consenti solo le transazioni 3D Secure (Molto rigoroso)"
"Allowed Currencies","Valute accettate"
"Allowed currencies for this payment method","Valute ammesse per questo metodo di pagamento"
"Already registered?","Già iscritto?"
"Always Checkout as Guest","Effettua il checkout sempre come ospite"
"American Express","American Express"
"Amount","Importo"
"Amount Incl. Tax","Importo tasse incluse"
"An unkown error occurs. Details: '!details'.","Si é verificato un errore sconosciuto. Dettagli: '!details'."
"Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Ask for the CVC","Chiedere CVC"
"At this point the PaRes-URL parameter must be given.","A questo punto deve essere dato il parametro di Pares-URL."
"Author","Autore"
"Authorization Amount","Importo autorizzazione"
"Authorization Failed","Autorizzazione non riuscita"
"Authorization Method","Metodo di autorizzazione"
"Authorization is uncertain.","Autorizzazione incerta"
"Authorized Status","Status autorizzato"
"Await Notification","Attendi la notifica"
"Awaiting confirmation","In attesa di conferma"
"BIC","BIC"
"Bad signature format.","Bad signature format."
"Bank Location","Posizione della banca"
"Bank Name","Nome della banca"
"Bank account number","Numero IBAN"
"Bank code number","Numero del codice bancario"
"Before payment selection","Prima della selezione del pagamento"
"Billing Address","Billing Address"
"Billing Information","Dati di fatturazione"
"Billing address","indirizzo di fatturazione"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"CVC Code","Codice CVC"
"CVN Check Result","Risultato del controllo CVN"
"CVN Check Result. <br>(M: CVV Matched), <br>(N: CVV Not Matched), <br>(I: CVV Not checked due to circumstances), <br>(U: CVV Not checked ??? issuer not certified), <br>(P: CVV Not Processed)","Risultato del controllo CVN <br>(M: CVV Matched), <br>(N: CVV Not Matched), <br>(I: CVV Not checked due to circumstances), <br>(U: CVV Not checked ??? issuer not certified), <br>(P: CVV Not Processed)"
"CVN Not Matched","CVN Non abbinato"
"CVN Not Processed","CVN Non trasformati"
"CVN Not checked - issuer not certified","CVN Non controllato - emittente non certificato"
"CVN Not checked due to circumstances","CVN Non controllato a causa di circostanze"
"CVN Result","Risultato di CVN"
"Cancel","Interrompere"
"Cancel ID","Cancel ID"
"Cancel operation failed with message: !message","Cancellazione non riuscita con il messaggio: !message"
"Cancel pending orders when out of stock","Cancellare gli ordini pendenti quando fuori stock."
"Cancel status","Status di cancellazione"
"Canceled RealexCw","____ModuleCamel___ annullato"
"Canceling of this payment not possible!","Questo pagamento non può essere cancellato!"
"Cancelled Status","Status annullato"
"Cannot update item quantity.","Impossibile aggiornare la quantità dell'articolo."
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Importo contabilizzato"
"Capture failed with message: !message","Registrazione non riuscita con il messaggio: !message"
"Capture information","Informazione della contabilizzazione"
"Capture status","Status di registrazione"
"Capture: Don't Close","Registrazione: Non chiudere"
"Captured Amount","Importo riconosciuto"
"Captured Status","Status registrato"
"Captures","Acquisizione"
"Captures & Refunds","Registrazioni & Rimborsi"
"Capturing","Contabilizzare"
"Capturing / Settlement","Acquisizione / Accordo"
"Card Expiration","Carta di data di scadenza"
"Card Holder Name","Titolari di carte"
"Card Number","Numero di carta"
"Carrier Title","Titolo del trasportatore"
"Check out faster","Effettua il checkout più velocemente"
"Check the delivery address","Controlla l'indirizzo di consegna"
"Check to activate the external checkout.","Selezionare questa opzione per attivare il checkout esterno."
"Checkout","Checkout"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o iscriviti"
"Checkout as a new customer","Effettua il checkout come nuovo cliente"
"Checkout using your account","Effettua il checkout utilizzando il tuo account"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Seleziona 'Creazione dopo l'ordine' se vuoi che la fattura venga creata. Lo status della fattura sarà impostato secondo lo status della registrazione"
"Choose the strictness of your transactions relating to 3DSecure (Options are ordered by stricness).","Scegli la severità delle transazioni relative a 3D Secure (opzioni sono ordinate per severità)."
"Choosing the encryption algorithm used for the signature. Realex recommend to use SHA1.","Scegliere l'algoritmo di crittografia utilizzato per la firma. Realex consiglia di utilizzare SHA1."
"Company Commercial Number","Numero commerciale dell'azienda"
"Confirm Password","Conferma la password"
"Confirm with your acquire that they support recurring sequences of Realex Payments. At this point (2013) only HBOS and Streamline support this. Recurring sequence payments are a lower risk, you will get charged less.","Conferma che supportano le sequenze ricorrenti di Realex Payments. A questo punto (2013) solo HBOS e Streamline lo supportano. I pagamenti con sequenza ricorrenti sono un rischio inferiore, quindi ti sarà addebitato meno."
"Continue","Continua"
"Could not convert object of type '!type' to string.","Impossibile convertire l'oggetto di tipo '!type' in  string."
"Could not find a brand for the given card number.","Impossibile trovare un marchio in base al numero di carta fornito."
"Could not find pressed button.","Impossibile trovare il pulsante premuto."
"Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'."
"Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dall' URL !url. motivo: !reason"
"Create Account","Crea un account"
"Create New Order - Payment","Crea un nuovo ordine - Pagamento"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","I numerosi vantaggi di creare un account:"
"Creation Date","Data di creazione"
"Credit Card Brands","Marche Carta di Credito"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Il totale di nota di credito deve essere positivo."
"Currency","Valuta"
"Current Configuration Scope:","Attuale ambito di configurazione:"
"Customer Account","Account cliente"
"Customer Alias Management","Gestione dell'Alias del cliente"
"Customer successfully returned from RealexCw","Il cliente é tornato con successo da RealexCw."
"Customer successfully returned from Realex","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customer sucessfully returned from the RealexCw payment page.","Customer sucessfully returned from the RealexCw payment page."
"Customers","Clienti"
"Customweb","Customweb"
"Date","Data"
"Date of Birth","Data di nascita"
"Day","Giorno"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Gentile cliente abbiamo ricevuto le sue informazioni  di  fatturazione e  spedizione. Per concludere il tuo ordine,  vai alla cassa, crea un nuovo accesso o effettua il checkout come ospite."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Gentile cliente, il suo pagamento sembra andato a buon fine, tuttavia siamo ancora in attesa di conferma. Può aspettare su questa pagina e la reindirizzeremo dopo che avremo ricevuto la conferma. Oppure può chiudere questa finestra e le invieremo una e-mail di conferma dell'ordine."
"Default Config","Configurazione predefinita"
"Deferred","Ritardato"
"Deferred (authorization)","Deferred (authorization)"
"Deferred capturing","Registrazione ritardata"
"Deferred settlement","Creazione ritardata"
"Define a maximal order total for this checkout to be available.","Definire un ordine totale massimo al fine che questo checkout sia disponibile."
"Define a minimal order total for this checkout to be available.","Definire un ordine totale minimo al fine che questo checkout sia disponibile."
"Delayed","Ritardato"
"Delete","Cancellare"
"Delivery address","Indirizzo di consegna"
"Description","Descrizione"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Subito dopo l'acquisto"
"Directly after order","Subito dopo l'acquisto"
"Directly after order (sale)","Directly after order (sale)"
"Disabled","Disattivato"
"Discount","Sconto"
"Discount Amount","Sconto"
"Do nothing (not recommended)","Non fare niente (non raccomandato)"
"Do you wish to store your card information?","Do you wish to store your card information?"
"Don't change order status","Non cambiare lo stato dell'ordine"
"During authorization","Durante l'autorizzazione"
"ECI (Ecommerce Indicator)","eCommerce Indicator (ECI)"
"ECI Value","ECI Value"
"ECommerce Indivator (ECI)","eCommerce Indicator (ECI)"
"Each valid transaction returnes a RealScore (0 - 100). RealScore is Realex???s proprietary Transaction Suitability Scoring (TSS) system. A transaction suitability score is a score assigned to a transaction based on rules configured by you, highlighting potentially suspicious transactions which can be flagged for review. Realscore can also be implemented with automatic transaction checking, where transactions which break certain predefined rules or which return a low score can be automatically declined. The TSS-value set here, acts as a lower bound for transactions. Each transaction with a TSS-value lower as this option will be flagged for review (flagged as uncertain).","Ogni transazione valida fornisce un RealScore (0 - 100). RealScore é ____ paymentServiceProviderName ____ sistema Transaction proprietario Idoneità Scoring (TSS) s '. Un punteggio di idoneità di transazione assegnato ad una transazione in base alle regole configurate da voi, mettendo in evidenza le operazioni potenzialmente sospette che possono essere contrassegnati per la revisione. Realscore può anche essere implementato con il controllo automatico delle transazioni, dove le transazioni che infrangono alcune regole predefinite o che restituiscono un punteggio basso può essere automaticamente rifiutato. Il TSS-valore qui impostato, agisce come un limite inferiore per le transazioni. Ogni transazione con un TSS valore più basso come questa opzione verrà contrassegnata per la revisione (contrassegnata come incerta)."
"Edit","Modifica"
"Edit Invoice %s","Modifica la fattura %s"
"Email Address","Indirizzo email"
"Empty version number field name","Campo del numero vuoto"
"Enable or disable logging.","Attiva o disattiva logging."
"Enable the payment method","Attiva la modalità di pagamento"
"Enabled","Attivato"
"Encryption algorithm","Algoritmo di crittografia"
"Enter the date on which your card expires.","Inserisci la data di scadenza della carta."
"Enter the subaccount you want to use for this shop. You need to contact Realex in order to set up new subaccounts. The default subacount is 'internet'.","Inserisci il subaccount che si desidera utilizzare per questo negozio. È necessario contattare Realex al fine di creare nuovi account secondari. Il subaccount predefinito é 'internet'."
"Error with the length of the validation date.","Error with the length of the validation date."
"Excl. Tax","Escl. tasse"
"External Checkout","Checkout esterno"
"External Checkout: Guest Checkout","Checkout esterno: Checkout da ospite"
"Failed","Non andato a buon fine"
"Failed payment authorization.","L'autorizzazione é stata rifiutata."
"Figure !number:","Figure !number:"
"For the Transaction Feedback please send the URL that is generated in the main module to Realex (<a href='mailto:support@realexpayments.com'>support@realexpayments.com</a>)","Per il Feedback della transazione, invia l'URL generato nel modulo principale a Realex (<a href='mailto:support@realexpayments.com'>support@realexpayments.com</a>)"
"Force 3DSecure transaction, if customer is enrolled for 3DSecure. If not enrolled go on without 3DSecure.","Utilizzare transazione 3DSecure, se il cliente é iscritto per 3DSecure. In caso contrario, andare avanti senza 3DSecure."
"Forgot Your Password?","Hai dimenticato la password?"
"Forgot your password?","Hai dimenticato la password?"
"Full 3D Secure ??? cardholder enrolled","Full 3D Secure - titolare iscritto"
"Get Update","Aggiorna"
"Here you can insert a transaction prefix. The prefix allows you to change the transaction number that is transmitted to Realex. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Qui è possibile inserire un prefisso d'ordine. Il prefisso consente di cambiare il numero d'ordine che viene trasmesso a Realex .  Il profilo deve contenere il tag {id}. Il prefisso sarà poi sostituito dal numero d'ordine (es. name-{id}). Non utilizzare '_'."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you may enter the shop id added to allow multiple stores with the same Realex account.","Qui é possibile immettere lo Shop ID aggiunto per consentire più negozi con lo stesso account Realex."
"Het kiezen van de encryptie-algoritme dat wordt gebruikt voor de ondertekening. Realex beveelt SHA1 gebruiken.","Het kiezen van de encryptie-algoritme dat wordt gebruikt voor de ondertekening. Realex beveelt SHA1 gebruiken."
"Hide","Nascondi"
"I: Problem with check","I: Problemi con il controllo"
"IBAN","IBAN"
"IBAN number","Numero IBAN"
