"* Required Fields","* Required Fields"
"-- No Status Change --","-- No Status Change --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure mislukt"
"3D Secure sucess","3D Secure succes"
"3DSecure Setting","3D Secure Instelling"
"A authorized transaction cannot be authorized again.","Een geautoriseerde transactie kan niet worden weer geautoriseerd."
"A authorized transaction cannot be marked as failed.","Een geautoriseerde transactie kan niet worden gemarkeerd als mislukt."
"A cancelled transaction cannot be authorized.","Een geannuleerde transactie kan niet worden geautoriseerd."
"A cancelled transaction cannot be cancelled again.","Een geannuleerde transactie kan niet worden weer geannuleerd."
"A cancelled transaction cannot be captured.","Een geannuleerde transactie kan niet worden weer opgenomen."
"A cancelled transaction cannot be marked as failed.","Een geannuleerde transactie kan niet worden gemarkeerd als mislukt."
"A cancelled transaction cannot be refunded.","Een geannuleerde transactie kan niet worden bijgeschreven."
"A captured transaction cannot be authorized.","Een opgenomen transactie kan niet worden geautoriseerd."
"A captured transaction cannot be cancelled.","Een opgenomen transactie kan niet worden geannuleerd."
"A captured transaction cannot be marked as failed.","Een opgenomen transactie kan niet worden gemarkeerd als mislukt."
"A failed authorization cannot be authorized.","Een mislukte autorisatie kan niet worden geautoriseerd."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Sommige betaalmethoden zijn niet beschikbaar voor bepaalde landen. U kunt de tijd waarop de beschikbaarheid cheque te voeren taken. Wij adviseren om op 'Tijdens de autorisatie'."
"A refund was added over !amount.","Een terugbetaling van !amount werd toegevoegd."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Een transactie kan onveilig zijn als de betaling niet is gegarandeerd. Bijvoorbeeld, als de credit card niet tot het 3D Secure proces."
"AVS Address Check","AVS Adres Controle"
"AVS Post Code Check","AVS Postcode Controle"
"AVSManager Address Settings","AVS Manager Adresinstellingen"
"AVSManager Post Code Settings","AVS Manager Postcode Instellingen"
"About","About"
"Account Holder","Rekeninghouder"
"Account Holder Name","Naam rekeninghouder"
"Account owner name.","Rekeninghouder naam"
"Action","Actie"
"Actions","Actions"
"Activate","Activate"
"Activate AVS-Manager","Activeer AVS-Manager"
"Activate RealVault","Activeren RealVault"
"Activate the payment method and test.","Activate the payment method and test."
"Active","Actief"
"Additional Information","Additional Information"
