"Map any existing product attribute to the Schema.org %link.","Map any existing product attribute to the Schema.org %link."
"Assign the current product attribute options to the Schema.org condition options such as %new, %used, %refurbished or %damaged.","Assign the current product attribute options to the Schema.org condition options such as %new, %used, %refurbished or %damaged."
Home,Home
"Go to Home Page","Go to Home Page"
"-- Please Select --","-- Please Select --"
lb,lb
kg,kg
SEO,SEO
"SEO Markup","SEO Markup"
"Adds <a target=""_blank"" href=""https://support.mageworx.com/manuals/richsnippets/#glossary"">rich snippets</a> to your existing website HTML. <br/><b>Note:</b> adding snippets to your site in the search results may take some time as the search bots do not include this information immediately.","Adds <a target=""_blank"" href=""https://support.mageworx.com/manuals/richsnippets/#glossary"">rich snippets</a> to your existing website HTML. <br/><b>Note:</b> adding snippets to your site in the search results may take some time as the search bots do not include this information immediately."
Product,Product
"These settings are for the snippet configuration on the products pages.","These settings are for the snippet configuration on the products pages."
"Enable In Rich Snippets","Enable In Rich Snippets"
"Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">special page</a>. By default and without any configurations, the product entity will include the following attributes: product name, preview image, rating, price, availability and website language.","Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">special page</a>. By default and without any configurations, the product entity will include the following attributes: product name, preview image, rating, price, availability and website language."
"Enable In Open Graph","Enable In Open Graph"
"Enable In Twitter Cards","Enable In Twitter Cards"
"To enable the feature, make sure you enter Twitter Username in the Common section.","To enable the feature, make sure you enter Twitter Username in the Common section."
"Enable for Google Assistant","Enable for Google Assistant"
"CSS Selectors","CSS Selectors"
"You can specify a few values separated by commas.","You can specify a few values separated by commas."
"Best Rating","Best Rating"
"Disable Default Review Markup","Disable Default Review Markup"
"Disabled review markup added by theme.","Disabled review markup added by theme."
"Description Attribute Code","Description Attribute Code"
"Select the Description Attribute Code from Magento match it to Schema.org <a target=""_blank"" href=""https://schema.org/description"">description snippet</a>.","Select the Description Attribute Code from Magento match it to Schema.org <a target=""_blank"" href=""https://schema.org/description"">description snippet</a>."
"Add SKU","Add SKU"
"Enable to match the SKU Attribute code from Magento to Schema.org <a target=""_blank"" href=""https://schema.org/sku"">SKU snippet</a>.","Enable to match the SKU Attribute code from Magento to Schema.org <a target=""_blank"" href=""https://schema.org/sku"">SKU snippet</a>."
"SKU Attribute Code","SKU Attribute Code"
"Select the SKU Attribute Code from Magento.","Select the SKU Attribute Code from Magento."
"Add Category","Add Category"
