"Compare Products","Compare Products"
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Basket"
"In stock","In stock"
"Out of stock","Out of stock"
"Learn More","Learn More"
Qty,Qty
"Regular Price","Was"
or,or
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Enter your email address"
Subscribe,Subscribe
"Create an Account","Create an Account"
"My Account","My Account"
"1 column full width","1 column full width"
"Special Price","Now "
"Shipping","Delivery"
